env_label,method,history,mean,std,n
OGBench-Cube,idr,1,79.8,4.207136793592526,5
OGBench-Cube,idr,2,78.4,2.3021728866442674,5
OGBench-Cube,idr,3,79.4,2.3021728866442674,5
OGBench-Cube,sigreg,1,59.6,1.9493588689617964,5
OGBench-Cube,sigreg,2,62.4,0.8944271909999159,5
OGBench-Cube,sigreg,3,62.6,2.966479394838268,5
Push-T,idr,1,83.4,4.277849927241488,5
Push-T,idr,2,82.6,3.1304951684997055,5
Push-T,idr,3,78.6,3.049590136395381,5
Push-T,sigreg,1,89.0,2.8284271247461903,5
Push-T,sigreg,2,89.8,2.8635642126552705,5
Push-T,sigreg,3,88.6,2.5099800796022267,5
Reacher,idr,1,69.4,4.505552130427524,5
Reacher,idr,2,86.2,17.541379649275022,5
Reacher,idr,3,95.2,2.9495762407505253,5
Reacher,sigreg,1,64.4,3.714835124201342,5
Reacher,sigreg,2,94.8,2.2803508501982757,5
Reacher,sigreg,3,94.6,2.073644135332772,5
TwoRoom,idr,1,96.6,0.5477225575051661,5
TwoRoom,idr,2,97.0,0.0,5
TwoRoom,idr,3,96.6,0.5477225575051661,5
TwoRoom,sigreg,1,92.8,3.1144823004794873,5
TwoRoom,sigreg,2,91.4,0.8944271909999159,5
TwoRoom,sigreg,3,86.8,1.3038404810405297,5
