env,env_label,method,seed,random_repeat,goal_offset,eval_budget,num_tasks,success_rate,distance_to_goal,eval_task_seed,policy_seed,elapsed_seconds,status,result_dir,metrics_path,final_training_run
tworoom,TwoRoom,forward_only,0,,25,50,100,31.0,nan,62025,72025,263.97873640060425,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_25/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,25,50,100,100.0,nan,62025,72025,253.26376295089722,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_25/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,25,50,100,91.0,nan,62025,72025,258.2668318748474,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_25/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,25,50,100,27.0,nan,62025,72025,10.306242227554321,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_25/metrics.json,
tworoom,TwoRoom,forward_only,0,,40,80,100,22.0,nan,62026,72026,503.5122535228729,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_40/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,40,80,100,98.0,nan,62026,72026,508.40242648124695,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_40/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,40,80,100,84.0,nan,62026,72026,500.6889045238495,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_40/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,40,80,100,18.0,nan,62026,72026,16.60806941986084,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_40/metrics.json,
tworoom,TwoRoom,forward_only,0,,55,110,100,8.0,nan,62027,72027,664.5004694461823,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_55/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,55,110,100,96.0,nan,62027,72027,624.4635083675385,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_55/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,55,110,100,71.0,nan,62027,72027,631.3882558345795,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_55/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,55,110,100,7.000000000000001,nan,62027,72027,20.558278560638428,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_55/metrics.json,
tworoom,TwoRoom,forward_only,0,,70,140,100,12.0,nan,62028,72028,756.285252571106,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_70/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,70,140,100,95.0,nan,62028,72028,769.1172308921814,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_70/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,70,140,100,61.0,nan,62028,72028,763.7863066196442,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_70/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,70,140,100,7.000000000000001,nan,62028,72028,26.799031019210815,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_70/metrics.json,
tworoom,TwoRoom,forward_only,0,,85,170,100,6.0,nan,62029,72029,867.6817970275879,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_85/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,85,170,100,82.0,nan,62029,72029,894.6093385219574,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_85/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,85,170,100,42.0,nan,62029,72029,870.3907005786896,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_85/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,85,170,100,3.0,nan,62029,72029,31.91333556175232,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_85/metrics.json,
tworoom,TwoRoom,forward_only,0,,100,200,100,8.0,nan,62030,72030,1021.7979850769043,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/forward_only/offset_100/metrics.json,tworoom_forward_only_seed0
tworoom,TwoRoom,inverse,0,,100,200,100,79.0,nan,62030,72030,1037.475882768631,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/inverse/offset_100/metrics.json,tworoom_inverse_lambda_0p1_seed0
tworoom,TwoRoom,sigreg,0,,100,200,100,38.0,nan,62030,72030,1061.594614982605,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/sigreg/offset_100/metrics.json,tworoom_sigreg_seed0
tworoom,TwoRoom,random,,0,100,200,100,3.0,nan,62030,72030,36.72702980041504,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/tworoom/random/offset_100/metrics.json,
reacher,Reacher,forward_only,0,,25,50,100,17.0,nan,63025,73025,259.49427247047424,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_25/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,25,50,100,75.0,nan,63025,73025,288.4489061832428,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_25/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,25,50,100,78.0,nan,63025,73025,280.3396029472351,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_25/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,25,50,100,17.0,nan,63025,73025,42.729323387145996,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_25/metrics.json,
reacher,Reacher,forward_only,0,,40,80,100,13.0,nan,63026,73026,544.4888956546783,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_40/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,40,80,100,80.0,nan,63026,73026,555.1877615451813,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_40/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,40,80,100,85.0,nan,63026,73026,561.214521408081,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_40/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,40,80,100,10.0,nan,63026,73026,54.495370626449585,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_40/metrics.json,
reacher,Reacher,forward_only,0,,55,110,100,11.0,nan,63027,73027,678.3199157714844,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_55/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,55,110,100,84.0,nan,63027,73027,681.5329430103302,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_55/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,55,110,100,89.0,nan,63027,73027,677.6477513313293,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_55/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,55,110,100,11.0,nan,63027,73027,67.62471628189087,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_55/metrics.json,
reacher,Reacher,forward_only,0,,70,140,100,5.0,nan,63028,73028,850.9157602787018,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_70/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,70,140,100,83.0,nan,63028,73028,850.580860376358,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_70/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,70,140,100,88.0,nan,63028,73028,818.631105184555,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_70/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,70,140,100,12.0,nan,63028,73028,92.42987275123596,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_70/metrics.json,
reacher,Reacher,forward_only,0,,85,170,100,7.000000000000001,nan,63029,73029,978.4388048648834,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_85/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,85,170,100,83.0,nan,63029,73029,966.4930448532104,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_85/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,85,170,100,88.0,nan,63029,73029,976.5373594760895,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_85/metrics.json,reacher_sigreg_seed0
